City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bethel,0,US,1690593646,80,41.3712,-73.414,81.75,3.44
1,stanley,0,GB,1690593646,86,54.868,-1.6985,58.28,4.61
2,port-aux-francais,100,TF,1690593646,74,-49.35,70.2167,39.72,26.55
3,longyearbyen,75,SJ,1690593637,87,78.2186,15.6401,44.44,8.05
4,lihue,17,US,1690593646,67,21.9789,-159.3672,87.04,16.89
5,iqaluit,75,CA,1690593481,58,63.7506,-68.5145,53.33,2.3
6,nerchinsk,91,RU,1690593646,64,51.9833,116.5833,71.91,5.08
7,aripuana,78,BR,1690593646,39,-9.1667,-60.6333,77.65,2.53
8,upington,75,ZA,1690593647,66,-28.4478,21.2561,50.38,9.22
9,remire-montjoly,0,GF,1690593647,89,4.9167,-52.2667,78.84,2.3
10,san fernando de apure,100,ML,1690593647,68,13.3034,-4.8956,81.79,7.29
11,alofi,100,NU,1690593647,88,-19.0595,-169.9187,73.29,8.05
12,baoro,100,CF,1690593648,94,5.6667,15.9667,68.14,2.28
13,waitangi,100,NZ,1690593650,95,-43.9535,-176.5597,52.83,8.01
14,yellowknife,100,CA,1690593548,60,62.456,-114.3525,73.56,8.01
15,punta arenas,100,PH,1690593650,92,8.9897,125.34,76.39,4.03
16,bredasdorp,35,ZA,1690593650,91,-34.5322,20.0403,51.01,14.97
17,grytviken,29,GS,1690593650,88,-54.2811,-36.5092,29.77,10.18
18,sandnessjoen,100,NO,1690593650,91,66.0217,12.6316,57.72,5.37
19,gadzhiyevo,100,RU,1690593650,79,69.2551,33.3362,57.88,4.38
20,caudry,100,FR,1690593651,91,50.1249,3.4119,60.98,5.3
21,uturoa,13,PF,1690593651,77,-16.7333,-151.4333,79.86,9.75
22,papatowai,100,NZ,1690593651,66,-46.5619,169.4708,51.66,3.98
23,bubaque,100,GW,1690593651,82,11.2833,-15.8333,81.57,9.48
24,kruisfontein,100,ZA,1690593651,76,-34.0033,24.7314,51.89,2.84
25,puerto ayora,0,ES,1690593651,73,36.5939,-6.233,70.61,2.3
26,sitka,0,US,1690593651,60,57.0531,-135.33,69.69,13.8
27,adamstown,97,PN,1690593651,69,-25.066,-130.1015,66.87,23.71
28,hawaiian paradise park,100,PH,1690593652,85,10.8241,123.0075,80.37,17.25
29,seme,100,SN,1690593652,59,15.1942,-12.9448,89.62,13.78
30,tiksi,0,RU,1690593652,69,71.6872,128.8694,43.27,7.05
31,yuzhno-kurilsk,100,RU,1690593652,78,44.0306,145.8556,70.54,3.62
32,margaret river,100,US,1690593652,90,33.6862,-86.475,84.43,7.29
33,udachny,0,RU,1690593652,37,66.4167,112.4,71.46,5.46
34,ushuaia,0,AR,1690593653,57,-54.8,-68.3,47.86,14.97
35,flekkefjord,100,NO,1690593653,82,58.2971,6.6607,55.94,1.39
36,mugia,36,ES,1690593653,97,43.1041,-9.2179,68.92,5.19
37,howard springs,100,US,1690593653,91,39.2504,-76.933,77.88,13.73
38,bilibino,100,RU,1690593653,85,68.0546,166.4372,50.47,4.25
39,kapa'a,27,US,1690593653,76,22.0752,-159.319,87.78,8.01
40,eregli,0,TR,1690593654,38,37.5133,34.0467,64.51,0.63
41,mount pearl,100,GB,1690593654,92,53.6597,-1.8537,59.67,9.33
42,champerico,100,GT,1690593654,74,14.3,-91.9167,84.85,7.14
43,college,75,US,1690593467,53,64.8569,-147.8028,82.38,3.44
44,edinburgh of the seven seas,0,GB,1690593424,80,55.9521,-3.1965,60.28,8.05
45,badger,0,US,1690593654,51,64.8,-147.5333,82.31,3.44
46,new holland,100,LR,1690593654,98,6.6518,-10.5932,72.97,2.21
47,jamestown,20,US,1690593654,92,42.097,-79.2353,76.59,9.22
48,albany,83,US,1690593383,81,42.6001,-73.9662,79.92,2.86
49,puerto natales,0,ES,1690593423,73,36.5939,-6.233,70.61,2.3
50,keflavik,0,IS,1690593655,93,64.0049,-22.5624,50.43,9.22
51,pangoa,64,PE,1690593655,98,-12.1167,-73.0,67.24,2.48
52,utrik,100,MH,1690593655,80,11.2278,169.8474,83.14,20.83
53,kaoma,0,ZM,1690593655,50,-14.7833,24.8,54.57,4.23
54,lazaro cardenas,100,DO,1690593655,68,19.4558,-71.3261,80.01,12.55
55,lompoc,20,US,1690593655,76,34.6391,-120.4579,85.01,10.36
56,crucecita,0,AR,1690593656,61,-28.95,-58.9833,52.09,6.71
57,tindouf,0,DZ,1690593656,28,27.6711,-8.1474,86.45,11.5
58,wailua homesteads,24,US,1690593656,75,22.0492,-159.3352,87.8,8.01
59,palmer,40,US,1690593656,75,42.1584,-72.3287,80.15,5.75
60,tidjikja,99,MR,1690593656,40,18.5564,-11.4271,90.57,10.18
61,anadyr,20,RU,1690593656,72,64.75,177.4833,59.5,13.42
62,tolanaro,20,MG,1690593657,77,-25.0319,46.9987,64.47,4.61
63,invercargill,100,NZ,1690593657,73,-46.4,168.35,54.01,5.99
64,san luis de la loma,100,ML,1690593657,68,13.3034,-4.8956,81.79,7.29
65,tura,98,IN,1690593657,94,25.5198,90.2201,76.75,5.06
66,nuuk,75,GL,1690593657,66,64.1835,-51.7216,54.21,13.8
67,belyy yar,2,RU,1690593657,96,55.8402,32.9419,50.95,4.03
68,colonia,75,DE,1690593658,87,50.9333,6.95,67.87,4.61
69,khilok,30,RU,1690593658,58,51.3674,110.4676,71.89,2.35
70,coquimbo,100,CL,1690593448,100,-29.9533,-71.3436,55.13,3.44
71,cabo san lucas,18,BR,1690593658,87,-8.2833,-35.0333,76.93,5.26
72,maumere,35,ID,1690593658,70,-8.6199,122.2111,79.65,3.91
